,datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,Total_booking
3750,01-12-2011 01:00,Winter,0,1, Clear + Few clouds,10.66,12.12,60,19.0012,1
5676,01-12-2011 04:00,Winter,0,1, Clear + Few clouds,10.66,12.12,56,19.0012,1
1800,04-12-2011 04:00,Winter,0,0, Clear + Few clouds,10.66,15.15,87,0,1
6121,08-12-2011 06:00,Winter,0,1, Clear + Few clouds,9.02,10.605,55,19.0012,1
3411,09-12-2011 19:00,Winter,0,1, Clear + Few clouds,13.94,18.18,61,0,1
7038,12-12-2011 01:00,Winter,0,1, Clear + Few clouds,8.2,12.88,69,0,1
6415,06-01-2012 12:00,Spring,0,1, Clear + Few clouds,14.76,16.665,50,16.9979,1
1577,06-01-2012 23:00,Spring,0,1, Clear + Few clouds,14.76,18.94,50,0,1
8415,07-01-2012 22:00,Spring,0,0, Clear + Few clouds,18.04,21.97,38,16.9979,1
8497,10-01-2012 21:00,Spring,0,1, Clear + Few clouds,13.12,16.665,66,6.0032,1
1501,16-01-2012 09:00,Spring,1,0, Clear + Few clouds,4.1,6.06,58,11.0014,1
1503,17-01-2012 02:00,Spring,0,1," Light Snow, Light Rain",11.48,13.635,75,16.9979,1
2541,19-01-2012 20:00,Spring,0,1, Clear + Few clouds,10.66,10.605,52,30.0026,1
8447,07-02-2012 17:00,Spring,0,1, Clear + Few clouds,18.04,21.97,35,12.998,1
7907,12-02-2012 08:00,Spring,0,0, Clear + Few clouds,3.28,3.79,53,16.9979,1
6044,02-03-2012 08:00,Spring,0,1, Clear + Few clouds,11.48,15.15,75,6.0032,1
2356,02-03-2012 23:00,Spring,0,1, Mist + Cloudy ,14.76,18.94,87,0,1
7577,05-03-2012 10:00,Spring,0,1, Mist + Cloudy ,9.84,12.88,60,0,1
8635,08-03-2012 06:00,Spring,0,1, Clear + Few clouds,17.22,21.21,77,16.9979,1
179,09-03-2012 14:00,Spring,0,1, Clear + Few clouds,17.22,21.21,28,31.0009,1
5451,17-03-2012 09:00,Spring,0,0, Mist + Cloudy ,18.04,21.97,88,6.0032,1
4916,14-04-2012 16:00,Summer,0,0, Mist + Cloudy ,26.24,31.06,27,23.9994,1
1958,17-04-2012 20:00,Summer,0,1, Clear + Few clouds,24.6,30.305,23,19.0012,1
454,18-04-2012 11:00,Summer,0,1," Light Snow, Light Rain",18.86,22.725,47,16.9979,1
960,19-04-2012 04:00,Summer,0,1, Mist + Cloudy ,17.22,21.21,71,0,1
3226,19-04-2012 18:00,Summer,0,1, Clear + Few clouds,24.6,31.06,43,6.0032,1
4708,11-05-2012 20:00,Summer,0,1, Clear + Few clouds,25.42,30.305,25,8.9981,1
464,14-05-2012 11:00,Summer,0,1, Mist + Cloudy ,22.96,26.515,83,15.0013,1
3205,19-05-2012 01:00,Summer,0,0, Clear + Few clouds,20.5,24.24,48,0,1
5654,05-07-2012 23:00,Fall,0,1, Clear + Few clouds,32.8,37.88,55,11.0014,1
4383,12-07-2012 12:00,Fall,0,1, Clear + Few clouds,31.98,34.09,35,8.9981,1
2751,12-07-2012 22:00,Fall,0,1, Clear + Few clouds,29.52,33.335,51,11.0014,1
4011,13-07-2012 21:00,Fall,0,1, Clear + Few clouds,29.52,33.335,54,0,1
7510,19-07-2012 03:00,Fall,0,1, Clear + Few clouds,29.52,34.09,70,7.0015,1
5759,01-08-2012 11:00,Fall,0,1, Clear + Few clouds,31.16,35.605,58,6.0032,1
7873,06-08-2012 07:00,Fall,0,1," Light Snow, Light Rain",29.52,34.09,70,12.998,1
8281,07-08-2012 03:00,Fall,0,1, Clear + Few clouds,28.7,33.335,84,0,1
6196,13-08-2012 03:00,Fall,0,1, Clear + Few clouds,26.24,30.305,69,0,1
3957,13-08-2012 04:00,Fall,0,1, Clear + Few clouds,26.24,30.305,69,7.0015,1
2661,02-09-2012 09:00,Fall,0,0, Mist + Cloudy ,28.7,33.335,84,0,1
3891,07-09-2012 13:00,Fall,0,1, Clear + Few clouds,32.8,38.635,59,16.9979,1
5675,10-09-2012 14:00,Fall,0,1, Clear + Few clouds,27.06,31.06,36,19.0012,1
1623,11-09-2012 16:00,Fall,0,1, Clear + Few clouds,28.7,31.82,28,8.9981,1
4442,13-09-2012 16:00,Fall,0,1, Clear + Few clouds,29.52,32.575,39,6.0032,1
7885,19-09-2012 11:00,Fall,0,1, Clear + Few clouds,24.6,31.06,43,16.9979,1
8269,07-11-2012 03:00,Winter,0,1, Mist + Cloudy ,11.48,12.88,52,22.0028,1
8398,10-11-2012 05:00,Winter,0,0, Clear + Few clouds,11.48,15.91,87,0,1
5773,10-11-2012 09:00,Winter,0,0, Clear + Few clouds,14.76,17.425,66,12.998,1
7047,10-11-2012 11:00,Winter,0,0, Clear + Few clouds,16.4,20.455,58,7.0015,1
7398,10-11-2012 21:00,Winter,0,0, Clear + Few clouds,16.4,20.455,66,0,1
7743,11-11-2012 18:00,Winter,0,0, Clear + Few clouds,21.32,25,45,8.9981,1
675,02-12-2012 10:00,Winter,0,0, Mist + Cloudy ,12.3,16.665,87,0,1
8408,08-12-2012 17:00,Winter,0,0, Clear + Few clouds,15.58,19.695,87,8.9981,1
8479,08-12-2012 19:00,Winter,0,0, Clear + Few clouds,16.4,20.455,87,0,1
6168,10-12-2012 21:00,Winter,0,1, Mist + Cloudy ,18.86,22.725,94,12.998,1
1257,12-12-2012 17:00,Winter,0,1, Mist + Cloudy ,13.12,15.15,53,15.0013,1
3835,03-01-2011 05:00,Spring,0,1, Clear + Few clouds,6.56,6.82,47,19.0012,2
6360,05-01-2011 17:00,Spring,0,1, Clear + Few clouds,9.84,11.365,38,12.998,2
2745,16-01-2011 23:00,Spring,0,0, Mist + Cloudy ,8.2,11.365,40,7.0015,2
5981,01-02-2011 09:00,Spring,0,1, Mist + Cloudy ,6.56,11.365,93,0,2
4992,13-02-2011 09:00,Spring,0,0, Mist + Cloudy ,9.84,11.365,60,15.0013,2
4509,18-02-2011 12:00,Spring,0,1, Clear + Few clouds,20.5,24.24,59,12.998,2
7781,02-03-2011 07:00,Spring,0,1, Clear + Few clouds,9.02,10.605,64,16.9979,2
2918,02-03-2011 22:00,Spring,0,1, Clear + Few clouds,12.3,12.88,26,36.9974,2
3910,04-03-2011 08:00,Spring,0,1, Clear + Few clouds,7.38,9.85,74,8.9981,2
3272,04-03-2011 23:00,Spring,0,1, Mist + Cloudy ,12.3,15.15,75,11.0014,2
7491,15-03-2011 02:00,Spring,0,1, Clear + Few clouds,12.3,15.15,62,6.0032,2
1705,18-03-2011 10:00,Spring,0,1, Clear + Few clouds,21.32,25,53,19.0012,2
2872,19-03-2011 22:00,Spring,0,0, Clear + Few clouds,16.4,20.455,37,22.0028,2
6639,04-04-2011 14:00,Summer,0,1, Mist + Cloudy ,30.34,32.575,27,32.9975,2
1593,06-04-2011 05:00,Summer,0,1, Clear + Few clouds,9.84,12.88,70,7.0015,2
5492,06-04-2011 22:00,Summer,0,1, Clear + Few clouds,18.86,22.725,41,19.0012,2
330,18-04-2011 04:00,Summer,0,1, Clear + Few clouds,16.4,20.455,87,11.0014,2
4077,18-04-2011 12:00,Summer,0,1, Mist + Cloudy ,22.96,26.515,49,6.0032,2
7266,02-05-2011 20:00,Summer,0,1, Mist + Cloudy ,25.42,30.305,69,8.9981,2
2786,12-05-2011 23:00,Summer,0,1, Mist + Cloudy ,22.14,25.76,77,12.998,2
5130,14-05-2011 21:00,Summer,0,0," Light Snow, Light Rain",22.14,25.76,94,15.0013,2
6293,16-05-2011 16:00,Summer,0,1," Light Snow, Light Rain",24.6,28.79,78,16.9979,2
4962,02-06-2011 15:00,Summer,0,1, Clear + Few clouds,32.8,34.09,21,26.0027,2
6669,04-06-2011 23:00,Summer,0,0, Mist + Cloudy ,26.24,31.06,57,0,2
6181,05-06-2011 00:00,Summer,0,0, Clear + Few clouds,26.24,31.06,57,6.0032,2
3682,07-06-2011 20:00,Summer,0,1, Clear + Few clouds,30.34,34.09,56,8.9981,2
5002,09-06-2011 20:00,Summer,0,1, Mist + Cloudy ,32.8,36.365,43,12.998,2
5444,01-07-2011 02:00,Fall,0,1, Clear + Few clouds,25.42,30.305,69,0,2
3599,03-07-2011 17:00,Fall,0,0," Light Snow, Light Rain",32.8,37.12,49,56.9969,2
6177,03-07-2011 21:00,Fall,0,0, Mist + Cloudy ,27.06,30.305,83,11.0014,2
2177,06-07-2011 10:00,Fall,0,1," Light Snow, Light Rain",28.7,33.335,79,6.0032,2
3569,07-07-2011 21:00,Fall,0,1, Clear + Few clouds,30.34,34.09,62,11.0014,2
7057,15-07-2011 12:00,Fall,0,1, Clear + Few clouds,28.7,32.575,48,12.998,2
2374,16-07-2011 05:00,Fall,0,0, Clear + Few clouds,23.78,27.275,78,6.0032,2
2536,19-07-2011 23:00,Fall,0,1," Light Snow, Light Rain",29.52,34.85,79,11.0014,2
7174,02-08-2011 14:00,Fall,0,1, Clear + Few clouds,36.9,38.635,25,19.0012,2
7901,10-08-2011 21:00,Fall,0,1, Clear + Few clouds,31.16,33.335,33,7.0015,2
4728,13-08-2011 06:00,Fall,0,0, Clear + Few clouds,26.24,30.305,73,6.0032,2
1935,17-08-2011 00:00,Fall,0,1, Clear + Few clouds,27.06,31.06,69,6.0032,2
6812,17-08-2011 11:00,Fall,0,1, Clear + Few clouds,31.98,34.85,43,7.0015,2
8597,18-08-2011 16:00,Fall,0,1, Clear + Few clouds,32.8,36.365,46,23.9994,2
6635,01-09-2011 17:00,Fall,0,1, Clear + Few clouds,29.52,33.335,54,16.9979,2
7276,05-09-2011 07:00,Fall,1,0, Clear + Few clouds,27.06,31.06,74,11.0014,2
6571,10-09-2011 04:00,Fall,0,0, Clear + Few clouds,23.78,27.275,94,6.0032,2
3306,16-09-2011 17:00,Fall,0,1, Mist + Cloudy ,21.32,25,48,8.9981,2
3211,18-09-2011 03:00,Fall,0,0, Clear + Few clouds,18.04,21.97,82,12.998,2
3657,18-09-2011 23:00,Fall,0,0, Clear + Few clouds,22.14,25.76,68,12.998,2
771,02-10-2011 08:00,Winter,0,0, Mist + Cloudy ,13.94,16.665,76,12.998,2
3612,14-10-2011 16:00,Winter,0,1, Clear + Few clouds,24.6,31.06,43,15.0013,2
6139,01-11-2011 14:00,Winter,0,1, Clear + Few clouds,20.5,24.24,48,16.9979,2
8560,18-11-2011 15:00,Winter,0,1, Clear + Few clouds,13.94,16.665,29,8.9981,2
7715,11-12-2011 12:00,Winter,0,0, Clear + Few clouds,10.66,15.15,35,0,2
7745,13-12-2011 23:00,Winter,0,1, Clear + Few clouds,10.66,15.15,70,0,2
7800,18-12-2011 22:00,Winter,0,0, Clear + Few clouds,9.02,11.365,75,12.998,2
5719,01-01-2012 05:00,Spring,0,0, Clear + Few clouds,11.48,14.395,81,7.0015,2
8253,03-01-2012 06:00,Spring,0,1, Clear + Few clouds,5.74,6.06,59,19.0012,2
5741,15-01-2012 19:00,Spring,0,0, Clear + Few clouds,6.56,8.335,37,11.0014,2
4887,12-02-2012 04:00,Spring,0,0, Mist + Cloudy ,4.1,2.275,46,47.9988,2
6660,19-02-2012 11:00,Spring,0,0, Mist + Cloudy ,10.66,11.365,56,22.0028,2
180,05-03-2012 03:00,Spring,0,1, Clear + Few clouds,9.02,11.365,51,11.0014,2
575,05-03-2012 18:00,Spring,0,1," Light Snow, Light Rain",11.48,11.365,55,43.9989,2
4437,06-03-2012 22:00,Spring,0,1, Clear + Few clouds,11.48,13.635,56,11.0014,2
6080,08-03-2012 17:00,Spring,0,1, Clear + Few clouds,25.42,31.06,38,43.9989,2
1920,18-03-2012 06:00,Spring,0,0, Mist + Cloudy ,16.4,20.455,94,7.0015,2
2300,18-03-2012 15:00,Spring,0,0, Clear + Few clouds,22.14,25.76,68,6.0032,2
1894,19-03-2012 18:00,Spring,0,1, Clear + Few clouds,26.24,31.06,57,16.9979,2
8599,02-04-2012 14:00,Summer,0,1, Clear + Few clouds,18.86,22.725,31,27.9993,2
4052,07-04-2012 04:00,Summer,0,0, Clear + Few clouds,13.12,15.91,36,11.0014,2
4932,10-04-2012 14:00,Summer,0,1, Clear + Few clouds,22.14,25.76,24,12.998,2
7630,10-04-2012 20:00,Summer,0,1, Clear + Few clouds,18.86,22.725,28,26.0027,2
2819,14-04-2012 00:00,Summer,0,0, Clear + Few clouds,16.4,20.455,58,8.9981,2
7880,15-04-2012 04:00,Summer,0,0, Mist + Cloudy ,22.14,25.76,52,0,2
268,01-05-2012 06:00,Summer,0,1," Light Snow, Light Rain",21.32,25,77,7.0015,2
4832,04-05-2012 23:00,Summer,0,1, Clear + Few clouds,24.6,28.03,83,6.0032,2
5146,11-05-2012 05:00,Summer,0,1, Clear + Few clouds,17.22,21.21,47,11.0014,2
3578,18-05-2012 19:00,Summer,0,1, Clear + Few clouds,25.42,31.06,41,12.998,2
2853,05-06-2012 07:00,Summer,0,1, Clear + Few clouds,19.68,23.485,77,19.9995,2
615,10-06-2012 21:00,Summer,0,0, Clear + Few clouds,29.52,34.09,62,11.0014,2
4720,04-07-2012 07:00,Fall,1,0, Clear + Few clouds,27.88,31.82,65,0,2
2136,05-07-2012 19:00,Fall,0,1, Mist + Cloudy ,36.08,40.15,39,16.9979,2
1660,06-07-2012 12:00,Fall,0,1, Clear + Few clouds,36.08,37.88,28,7.0015,2
8131,14-07-2012 12:00,Fall,0,0, Mist + Cloudy ,30.34,34.85,66,6.0032,2
2428,15-07-2012 18:00,Fall,0,0," Light Snow, Light Rain",29.52,34.85,79,23.9994,2
5119,16-07-2012 09:00,Fall,0,1, Clear + Few clouds,31.16,35.605,62,11.0014,2
6975,06-08-2012 01:00,Fall,0,1, Clear + Few clouds,29.52,34.85,79,6.0032,2
1428,12-08-2012 01:00,Fall,0,0, Clear + Few clouds,25.42,29.545,78,8.9981,2
1825,12-08-2012 21:00,Fall,0,0, Clear + Few clouds,29.52,33.335,51,6.0032,2
191,01-09-2012 23:00,Fall,0,0, Clear + Few clouds,27.06,29.545,89,6.0032,2
4990,09-09-2012 01:00,Fall,0,0, Clear + Few clouds,22.96,26.515,73,15.0013,2
4019,09-09-2012 19:00,Fall,0,0, Clear + Few clouds,27.06,31.06,36,16.9979,2
3395,16-09-2012 05:00,Fall,0,0, Clear + Few clouds,20.5,24.24,72,0,2
3917,19-09-2012 20:00,Fall,0,1, Clear + Few clouds,21.32,25,48,11.0014,2
4944,02-10-2012 22:00,Winter,0,1, Mist + Cloudy ,25.42,27.275,94,7.0015,2
4342,13-10-2012 17:00,Winter,0,0, Clear + Few clouds,18.86,22.725,38,11.0014,2
3365,04-11-2012 07:00,Winter,0,0, Clear + Few clouds,10.66,13.635,65,7.0015,2
5972,06-11-2012 20:00,Winter,0,1, Clear + Few clouds,12.3,14.395,61,15.0013,2
7681,14-11-2012 23:00,Winter,0,1, Clear + Few clouds,9.84,12.12,70,8.9981,2
2275,15-11-2012 13:00,Winter,0,1, Mist + Cloudy ,15.58,19.695,54,7.0015,2
7100,19-11-2012 23:00,Winter,0,1, Clear + Few clouds,13.94,17.425,66,7.0015,2
3562,02-12-2012 00:00,Winter,0,0, Mist + Cloudy ,12.3,15.91,87,6.0032,2
7572,08-12-2012 22:00,Winter,0,0, Mist + Cloudy ,15.58,19.695,94,7.0015,2
4031,11-12-2012 19:00,Winter,0,1, Clear + Few clouds,13.12,15.15,53,15.0013,2
1135,16-12-2012 21:00,Winter,0,0, Mist + Cloudy ,14.76,18.94,93,0,2
5234,01-01-2011 09:00,Spring,0,0, Clear + Few clouds,13.12,17.425,76,0,3
6020,01-01-2011 10:00,Spring,0,0, Clear + Few clouds,15.58,19.695,76,16.9979,3
7204,02-01-2011 20:00,Spring,0,0, Clear + Few clouds,12.3,13.635,39,23.9994,3
7618,09-01-2011 18:00,Spring,0,0, Clear + Few clouds,6.56,6.82,40,22.0028,3
8485,16-01-2011 19:00,Spring,0,0, Clear + Few clouds,7.38,9.85,47,8.9981,3
259,19-01-2011 08:00,Spring,0,1, Mist + Cloudy ,9.84,12.88,93,7.0015,3
7665,10-02-2011 06:00,Spring,0,1, Mist + Cloudy ,4.92,6.06,54,19.0012,3
7772,19-02-2011 20:00,Spring,0,0, Clear + Few clouds,13.12,14.395,28,35.0008,3
1574,03-03-2011 11:00,Spring,0,1, Clear + Few clouds,8.2,11.365,29,6.0032,3
8243,06-03-2011 16:00,Spring,0,0," Light Snow, Light Rain",14.76,16.665,100,19.0012,3
7490,11-03-2011 12:00,Spring,0,1, Mist + Cloudy ,13.94,15.91,53,16.9979,3
2922,12-03-2011 11:00,Spring,0,0, Clear + Few clouds,13.94,15.15,49,22.0028,3
5714,15-03-2011 13:00,Spring,0,1, Mist + Cloudy ,14.76,16.665,57,19.0012,3
2221,05-04-2011 01:00,Summer,0,1," Light Snow, Light Rain",25.42,31.06,57,27.9993,3
4809,05-04-2011 03:00,Summer,0,1, Mist + Cloudy ,22.14,25.76,73,22.0028,3
4108,13-04-2011 13:00,Summer,0,1, Mist + Cloudy ,18.04,21.97,77,12.998,3
3349,06-05-2011 13:00,Summer,0,1, Clear + Few clouds,23.78,27.275,40,22.0028,3
4419,08-05-2011 01:00,Summer,0,0, Mist + Cloudy ,21.32,25,55,0,3
7875,10-05-2011 07:00,Summer,0,1, Mist + Cloudy ,18.04,21.97,62,8.9981,3
746,15-05-2011 07:00,Summer,0,0, Mist + Cloudy ,21.32,25,100,8.9981,3
2492,16-05-2011 19:00,Summer,0,1, Clear + Few clouds,23.78,27.275,83,16.9979,3
1122,17-05-2011 06:00,Summer,0,1," Light Snow, Light Rain",21.32,25,94,16.9979,3
6463,18-05-2011 12:00,Summer,0,1, Clear + Few clouds,22.96,26.515,94,19.9995,3
7010,19-05-2011 12:00,Summer,0,1, Mist + Cloudy ,23.78,27.275,78,7.0015,3
6653,19-05-2011 19:00,Summer,0,1, Clear + Few clouds,23.78,27.275,60,8.9981,3
7358,06-06-2011 00:00,Summer,0,1, Clear + Few clouds,25.42,29.545,78,8.9981,3
5846,11-06-2011 01:00,Summer,0,0, Clear + Few clouds,28.7,33.335,79,6.0032,3
8553,11-06-2011 04:00,Summer,0,0, Clear + Few clouds,27.88,31.82,79,6.0032,3
3293,12-06-2011 05:00,Summer,0,0, Clear + Few clouds,25.42,28.03,88,15.0013,3
7933,12-06-2011 22:00,Summer,0,0, Clear + Few clouds,26.24,28.79,83,8.9981,3
1048,02-07-2011 00:00,Fall,0,0, Clear + Few clouds,27.88,31.82,47,6.0032,3
3949,02-07-2011 23:00,Fall,0,0, Clear + Few clouds,29.52,33.335,54,19.0012,3
5508,01-08-2011 06:00,Fall,0,1, Clear + Few clouds,27.06,30.305,83,6.0032,3
4279,04-08-2011 04:00,Fall,0,1, Mist + Cloudy ,27.88,31.82,89,0,3
542,09-08-2011 16:00,Fall,0,1, Clear + Few clouds,35.26,38.635,39,19.9995,3
2894,09-08-2011 21:00,Fall,0,1, Clear + Few clouds,31.98,34.85,46,16.9979,3
5647,14-08-2011 02:00,Fall,0,0," Light Snow, Light Rain",26.24,28.79,89,15.0013,3
4609,02-09-2011 06:00,Fall,0,1, Clear + Few clouds,24.6,28.03,83,8.9981,3
6651,05-09-2011 14:00,Fall,1,0, Clear + Few clouds,30.34,34.85,70,11.0014,3
1136,09-09-2011 03:00,Fall,0,1, Mist + Cloudy ,25.42,27.275,94,16.9979,3
3803,17-09-2011 09:00,Fall,0,0, Mist + Cloudy ,19.68,23.485,67,15.0013,3
1268,18-09-2011 15:00,Fall,0,0, Mist + Cloudy ,23.78,27.275,60,8.9981,3
5378,06-10-2011 12:00,Winter,0,1, Clear + Few clouds,22.96,26.515,49,6.0032,3
8674,11-10-2011 05:00,Winter,0,1, Mist + Cloudy ,21.32,25,88,0,3
8653,13-10-2011 07:00,Winter,0,1," Light Snow, Light Rain",22.14,25.76,100,8.9981,3
6444,16-10-2011 07:00,Winter,0,0, Clear + Few clouds,16.4,20.455,62,8.9981,3
1632,18-10-2011 15:00,Winter,0,1, Clear + Few clouds,25.42,31.06,50,12.998,3
7591,18-10-2011 20:00,Winter,0,1, Clear + Few clouds,22.14,25.76,64,11.0014,3
6547,02-11-2011 14:00,Winter,0,1, Clear + Few clouds,20.5,24.24,45,11.0014,3
2333,02-11-2011 17:00,Winter,0,1, Clear + Few clouds,18.04,21.97,62,12.998,3
1266,06-11-2011 05:00,Winter,0,0, Clear + Few clouds,9.84,12.12,87,8.9981,3
439,12-11-2011 02:00,Winter,0,0, Clear + Few clouds,9.84,12.88,65,6.0032,3
3834,19-11-2011 06:00,Winter,0,0, Clear + Few clouds,9.84,10.605,60,22.0028,3
7710,04-12-2011 07:00,Winter,0,0, Clear + Few clouds,10.66,15.15,87,0,3
7921,06-12-2011 21:00,Winter,0,1, Mist + Cloudy ,18.04,21.97,100,12.998,3
3022,18-12-2011 13:00,Winter,0,0, Clear + Few clouds,12.3,13.635,49,19.9995,3
8249,18-12-2011 18:00,Winter,0,0, Clear + Few clouds,11.48,13.635,45,12.998,3
2554,19-12-2011 19:00,Winter,0,1, Mist + Cloudy ,14.76,17.425,53,11.0014,3
5214,04-01-2012 08:00,Spring,0,1, Clear + Few clouds,0.82,3.03,44,8.9981,3
7152,04-01-2012 21:00,Spring,0,1, Mist + Cloudy ,8.2,12.88,44,0,3
2302,10-01-2012 22:00,Spring,0,1, Clear + Few clouds,12.3,15.15,70,6.0032,3
8620,12-01-2012 22:00,Spring,0,1, Clear + Few clouds,15.58,19.695,76,19.9995,3
6352,14-01-2012 14:00,Spring,0,0, Clear + Few clouds,9.84,10.605,41,19.9995,3
6946,14-01-2012 23:00,Spring,0,0, Clear + Few clouds,6.56,7.575,47,15.0013,3
4384,01-02-2012 04:00,Spring,0,1, Clear + Few clouds,16.4,20.455,50,11.0014,3
5056,01-02-2012 21:00,Spring,0,1, Clear + Few clouds,21.32,25,52,11.0014,3
145,05-02-2012 08:00,Spring,0,0, Mist + Cloudy ,9.84,12.12,75,11.0014,3
5123,13-02-2012 01:00,Spring,0,1, Clear + Few clouds,4.92,6.06,50,15.0013,3
6218,18-02-2012 19:00,Spring,0,0, Clear + Few clouds,18.04,21.97,44,11.0014,3
1797,05-03-2012 05:00,Spring,0,1, Clear + Few clouds,8.2,11.365,55,6.0032,3
1177,10-03-2012 01:00,Spring,0,0, Clear + Few clouds,12.3,14.395,36,16.9979,3
4100,18-03-2012 00:00,Spring,0,0, Clear + Few clouds,18.86,22.725,88,12.998,3
128,18-03-2012 01:00,Spring,0,0, Clear + Few clouds,18.86,22.725,82,8.9981,3
6015,01-04-2012 09:00,Summer,0,0, Mist + Cloudy ,14.76,17.425,81,8.9981,3
7749,02-04-2012 00:00,Summer,0,1," Light Snow, Light Rain",18.04,21.97,82,7.0015,3
7967,07-04-2012 17:00,Summer,0,0, Clear + Few clouds,22.14,25.76,19,27.9993,3
662,07-04-2012 22:00,Summer,0,0, Clear + Few clouds,19.68,23.485,20,12.998,3
7766,19-04-2012 08:00,Summer,0,1, Mist + Cloudy ,17.22,21.21,82,7.0015,3
2667,02-05-2012 16:00,Summer,0,1, Clear + Few clouds,26.24,30.305,65,11.0014,3
3886,10-05-2012 08:00,Summer,0,1, Clear + Few clouds,18.86,22.725,67,23.9994,3
1902,11-05-2012 16:00,Summer,0,1, Clear + Few clouds,25.42,30.305,25,22.0028,3
1868,15-05-2012 09:00,Summer,0,1, Mist + Cloudy ,23.78,27.275,88,6.0032,3
3195,18-05-2012 01:00,Summer,0,1, Clear + Few clouds,20.5,24.24,59,6.0032,3
7700,07-06-2012 12:00,Summer,0,1, Clear + Few clouds,28.7,31.82,42,0,3
3399,11-06-2012 01:00,Summer,0,1, Clear + Few clouds,27.06,31.06,74,11.0014,3
1675,11-06-2012 18:00,Summer,0,1, Mist + Cloudy ,32.8,36.365,43,19.9995,3
4630,14-06-2012 13:00,Summer,0,1, Clear + Few clouds,27.88,31.82,57,11.0014,3
4696,16-06-2012 11:00,Summer,0,0, Clear + Few clouds,27.06,31.06,39,11.0014,3
1537,03-07-2012 00:00,Fall,0,1, Clear + Few clouds,29.52,33.335,54,0,3
8122,04-07-2012 02:00,Fall,1,0, Clear + Few clouds,27.06,30.305,83,8.9981,3
4911,07-07-2012 21:00,Fall,0,0, Clear + Few clouds,36.08,39.395,37,12.998,3
6340,15-07-2012 14:00,Fall,0,0, Clear + Few clouds,36.9,40.91,37,16.9979,3
3478,05-08-2012 23:00,Fall,0,0, Mist + Cloudy ,29.52,34.85,79,11.0014,3
8273,10-08-2012 11:00,Fall,0,1," Light Snow, Light Rain",27.88,31.82,79,8.9981,3
8393,11-08-2012 17:00,Fall,0,0," Light Snow, Light Rain",30.34,34.85,66,23.9994,3
2625,18-08-2012 13:00,Fall,0,0, Clear + Few clouds,30.34,32.575,40,12.998,3
5061,01-09-2012 17:00,Fall,0,0, Mist + Cloudy ,33.62,38.635,52,0,3
6033,08-09-2012 06:00,Fall,0,0, Mist + Cloudy ,27.06,29.545,89,19.0012,3
1069,08-09-2012 22:00,Fall,0,0, Mist + Cloudy ,23.78,27.275,78,19.9995,3
6649,11-09-2012 18:00,Fall,0,1, Clear + Few clouds,26.24,31.06,36,11.0014,3
