datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,Total_booking
07-11-12,Fall,0,1, Clear + Few clouds,31.98,34.09,38,16.9979,814
05-02-12,Summer,0,1, Clear + Few clouds,22.96,26.515,73,15.0013,813
06-07-12,Summer,0,1, Clear + Few clouds,28.7,31.82,34,19.0012,813
5/18/2012 17:00,Summer,0,1, Clear + Few clouds,27.06,31.06,34,8.9981,812
8/14/2012 17:00,Fall,0,1," Light Snow, Light Rain",31.16,36.365,66,16.9979,812
6/19/2012 17:00,Summer,0,1, Clear + Few clouds,32.8,37.88,55,12.998,811
10-03-12,Winter,0,1, Clear + Few clouds,28.7,32.575,65,0,810
08-09-12,Fall,0,1, Clear + Few clouds,35.26,37.88,36,16.9979,810
09-06-12,Fall,0,1, Clear + Few clouds,30.34,34.85,70,16.9979,808
10-09-12,Winter,0,1, Mist + Cloudy ,21.32,25,68,11.0014,806
3/19/2012 18:00,Spring,0,1, Clear + Few clouds,26.24,31.06,57,16.9979,801
06-11-12,Summer,0,1, Mist + Cloudy ,32.8,35.605,41,23.9994,800
04-03-12,Summer,0,1, Clear + Few clouds,24.6,30.305,26,11.0014,800
9/19/2012 8:00,Fall,0,1, Clear + Few clouds,21.32,25,59,15.0013,797
6/19/2012 18:00,Summer,0,1, Clear + Few clouds,32.8,37.88,55,11.0014,795
7/16/2012 18:00,Fall,0,1, Clear + Few clouds,34.44,40.15,53,0,794
06-08-12,Summer,0,1, Clear + Few clouds,31.16,33.335,29,12.998,793
09-07-12,Fall,0,1, Clear + Few clouds,31.16,35.605,62,19.9995,792
8/17/2012 17:00,Fall,0,1, Clear + Few clouds,33.62,12.12,36,22.0028,791
06-05-12,Summer,0,1, Clear + Few clouds,24.6,31.06,43,12.998,790
10/18/2012 18:00,Winter,0,1, Mist + Cloudy ,22.96,26.515,64,22.0028,788
10-05-12,Winter,0,1, Clear + Few clouds,23.78,27.275,64,0,785
10-09-12,Winter,0,1, Mist + Cloudy ,20.5,24.24,72,15.0013,784
9/15/2012 16:00,Fall,0,0, Mist + Cloudy ,27.06,31.06,36,15.0013,783
06-06-12,Summer,0,1," Light Snow, Light Rain",24.6,31.06,53,12.998,782
3/14/2012 17:00,Spring,0,1, Clear + Few clouds,28.7,31.82,28,6.0032,782
05-11-12,Summer,0,1, Clear + Few clouds,26.24,30.305,23,16.9979,779
4/19/2012 18:00,Summer,0,1, Clear + Few clouds,24.6,31.06,43,6.0032,776
9/17/2012 18:00,Fall,0,1, Mist + Cloudy ,25.42,29.545,73,11.0014,774
7/17/2012 18:00,Fall,0,1, Clear + Few clouds,36.9,40.15,33,12.998,772
09-07-12,Fall,0,1, Clear + Few clouds,31.98,37.12,59,22.0028,772
7/19/2012 17:00,Fall,0,1, Clear + Few clouds,35.26,39.395,41,0,771
09-12-12,Fall,0,1, Clear + Few clouds,22.96,26.515,64,7.0015,770
7/17/2012 17:00,Fall,0,1, Clear + Few clouds,37.72,40.91,29,0,770
05-07-12,Summer,0,1, Mist + Cloudy ,24.6,31.06,53,22.0028,769
08-02-12,Fall,0,1, Clear + Few clouds,32.8,38.635,59,15.0013,767
9/14/2012 8:00,Fall,0,1, Mist + Cloudy ,24.6,28.79,78,11.0014,766
10-05-12,Winter,0,1, Clear + Few clouds,26.24,31.06,57,8.9981,761
12-05-12,Winter,0,1, Mist + Cloudy ,18.04,21.97,58,19.0012,759
09-09-12,Fall,0,0, Clear + Few clouds,27.06,31.06,47,0,757
04-03-12,Summer,0,1, Clear + Few clouds,25.42,30.305,17,12.998,757
3/14/2012 18:00,Spring,0,1, Clear + Few clouds,28.7,31.82,32,0,749
4/19/2012 17:00,Summer,0,1, Clear + Few clouds,24.6,31.06,43,6.0032,748
07-02-12,Fall,0,1, Clear + Few clouds,34.44,36.365,32,8.9981,747
3/15/2012 18:00,Spring,0,1, Clear + Few clouds,27.06,31.06,44,19.0012,746
5/18/2012 8:00,Summer,0,1, Clear + Few clouds,21.32,25,59,8.9981,745
10-12-12,Winter,0,1, Clear + Few clouds,17.22,21.21,71,6.0032,745
6/13/2012 18:00,Summer,0,1, Clear + Few clouds,29.52,32.575,32,30.0026,744
04-10-12,Summer,0,1, Clear + Few clouds,22.96,26.515,21,35.0008,744
04-04-12,Summer,0,1, Clear + Few clouds,27.06,31.06,41,19.9995,744
05-01-12,Summer,0,1, Clear + Few clouds,28.7,32.575,54,8.9981,743
10-06-12,Winter,0,0, Clear + Few clouds,28.7,32.575,54,7.0015,743
08-02-12,Fall,0,1, Clear + Few clouds,29.52,34.85,74,7.0015,739
10-04-12,Winter,0,1, Clear + Few clouds,26.24,28.79,89,0,738
4/13/2012 17:00,Summer,0,1, Clear + Few clouds,22.96,26.515,24,11.0014,738
08-08-12,Fall,0,1, Mist + Cloudy ,30.34,36.365,72,6.0032,737
10/15/2012 8:00,Winter,0,1, Mist + Cloudy ,24.6,30.305,64,26.0027,737
5/15/2012 18:00,Summer,0,1, Clear + Few clouds,28.7,32.575,61,6.0032,733
12-03-12,Winter,0,1, Clear + Few clouds,14.76,18.94,93,0,731
08-10-12,Fall,0,1, Clear + Few clouds,32.8,37.12,52,19.0012,730
07-02-12,Fall,0,1, Clear + Few clouds,34.44,36.365,32,11.0014,730
09-10-12,Fall,0,1, Clear + Few clouds,22.96,26.515,60,19.0012,730
5/19/2012 14:00,Summer,0,0, Clear + Few clouds,29.52,32.575,30,6.0032,730
9/15/2012 17:00,Fall,0,0, Mist + Cloudy ,27.06,31.06,36,16.9979,729
04-02-12,Summer,0,1, Clear + Few clouds,20.5,24.24,29,19.0012,729
09-09-12,Fall,0,0, Clear + Few clouds,27.88,31.82,39,0,729
09-05-12,Fall,0,1, Clear + Few clouds,29.52,34.85,74,12.998,725
6/18/2012 17:00,Summer,0,1, Mist + Cloudy ,24.6,29.545,73,12.998,723
06-08-12,Summer,0,1, Clear + Few clouds,31.16,33.335,27,15.0013,723
12-04-12,Winter,0,1, Mist + Cloudy ,18.04,21.97,88,11.0014,721
3/19/2012 17:00,Spring,0,1, Clear + Few clouds,26.24,31.06,53,15.0013,721
09-07-12,Fall,0,1, Clear + Few clouds,27.06,30.305,83,7.0015,719
05-08-12,Summer,0,1, Mist + Cloudy ,26.24,30.305,69,19.0012,717
10-02-12,Winter,0,1," Light Snow, Light Rain",25.42,28.03,88,7.0015,715
9/15/2012 14:00,Fall,0,0, Clear + Few clouds,27.88,31.82,34,22.0028,715
3/15/2012 17:00,Spring,0,1, Clear + Few clouds,28.7,31.82,39,16.9979,713
6/13/2012 8:00,Summer,0,1, Mist + Cloudy ,25.42,29.545,73,35.0008,713
10-09-12,Winter,0,1, Mist + Cloudy ,17.22,21.21,80,12.998,713
7/13/2012 8:00,Fall,0,1, Mist + Cloudy ,28.7,32.575,54,0,713
03-12-12,Spring,0,1, Mist + Cloudy ,24.6,31.06,43,12.998,712
4/16/2012 17:00,Summer,1,0, Clear + Few clouds,32.8,34.85,33,26.0027,712
11/16/2012 8:00,Winter,0,1, Mist + Cloudy ,13.12,16.665,57,8.9981,711
05-08-12,Summer,0,1, Mist + Cloudy ,26.24,30.305,69,19.0012,710
10-06-12,Winter,0,0, Mist + Cloudy ,26.24,31.06,57,35.0008,710
06-05-12,Summer,0,1, Mist + Cloudy ,19.68,23.485,77,15.0013,710
12-03-12,Winter,0,1, Clear + Few clouds,21.32,25,63,7.0015,708
9/15/2012 12:00,Fall,0,0, Clear + Few clouds,27.06,31.06,36,23.9994,706
05-03-12,Summer,0,1, Clear + Few clouds,29.52,33.335,58,8.9981,706
08-07-12,Fall,0,1, Mist + Cloudy ,28.7,32.575,70,11.0014,705
05-09-12,Summer,0,1, Mist + Cloudy ,26.24,31.06,53,8.9981,705
04-10-12,Summer,0,1, Clear + Few clouds,22.14,25.76,22,27.9993,704
5/19/2012 13:00,Summer,0,0, Clear + Few clouds,28.7,31.82,37,8.9981,704
9/15/2012 13:00,Fall,0,0, Clear + Few clouds,27.88,31.82,36,12.998,704
06-02-12,Summer,0,0, Clear + Few clouds,26.24,31.06,38,16.9979,702
09-09-12,Fall,0,0, Clear + Few clouds,27.88,31.82,36,19.0012,701
06-08-12,Summer,0,1, Clear + Few clouds,23.78,27.275,60,6.0032,700
04-05-12,Summer,0,1, Clear + Few clouds,20.5,24.24,31,7.0015,698
08-09-12,Fall,0,1, Clear + Few clouds,29.52,34.85,74,7.0015,698
09-09-12,Fall,0,0, Clear + Few clouds,29.52,32.575,32,16.9979,696
06-01-12,Summer,0,1, Mist + Cloudy ,26.24,28.79,89,12.998,694
09-08-12,Fall,0,0, Clear + Few clouds,32.8,37.88,55,32.9975,694
9/16/2012 13:00,Fall,0,0, Clear + Few clouds,26.24,31.06,41,11.0014,694
6/15/2012 18:00,Summer,0,1, Clear + Few clouds,29.52,32.575,39,15.0013,693
11-09-12,Winter,0,1, Clear + Few clouds,13.12,15.91,57,11.0014,693
04-10-12,Summer,0,1, Clear + Few clouds,15.58,19.695,62,8.9981,692
12-03-12,Winter,0,1, Clear + Few clouds,20.5,24.24,68,6.0032,692
10-11-12,Winter,0,1, Clear + Few clouds,18.86,22.725,44,11.0014,692
3/17/2012 14:00,Spring,0,0, Clear + Few clouds,25.42,31.06,53,6.0032,690
07-05-12,Fall,0,1, Clear + Few clouds,37.72,42.425,35,11.0014,689
12-12-12,Winter,0,1, Mist + Cloudy ,10.66,12.88,65,11.0014,688
10-02-12,Winter,0,1," Light Snow, Light Rain",25.42,27.275,94,6.0032,687
11-02-12,Winter,0,1, Clear + Few clouds,13.12,16.665,57,7.0015,687
3/17/2012 13:00,Spring,0,0, Clear + Few clouds,24.6,30.305,60,7.0015,686
11-11-12,Winter,0,0, Clear + Few clouds,22.14,25.76,45,7.0015,686
08-08-12,Fall,0,1, Clear + Few clouds,31.16,36.365,66,15.0013,686
06-03-12,Summer,0,0, Clear + Few clouds,27.88,31.82,36,19.0012,686
06-03-12,Summer,0,0, Clear + Few clouds,27.06,31.06,39,19.9995,684
04-04-12,Summer,0,1, Mist + Cloudy ,18.04,21.97,72,7.0015,684
9/17/2012 8:00,Fall,0,1, Clear + Few clouds,22.14,25.76,77,6.0032,683
8/15/2012 8:00,Fall,0,1, Mist + Cloudy ,28.7,32.575,65,19.0012,682
8/16/2012 8:00,Fall,0,1, Clear + Few clouds,27.88,31.82,61,12.998,682
4/15/2012 13:00,Summer,0,0, Clear + Few clouds,27.06,31.06,44,19.0012,681
06-12-12,Summer,0,1, Mist + Cloudy ,27.06,29.545,89,19.0012,681
06-07-12,Summer,0,1, Clear + Few clouds,21.32,25,77,0,681
05-01-12,Summer,0,1, Clear + Few clouds,30.34,33.335,48,6.0032,681
11-01-12,Winter,0,1, Mist + Cloudy ,14.76,18.94,56,7.0015,680
05-07-12,Summer,0,1, Mist + Cloudy ,24.6,31.06,53,23.9994,680
06-02-12,Summer,0,0, Clear + Few clouds,25.42,31.06,41,16.9979,679
12/13/2012 8:00,Winter,0,1, Clear + Few clouds,9.84,11.365,60,12.998,679
7/18/2012 8:00,Fall,0,1, Clear + Few clouds,31.98,37.12,62,7.0015,679
5/15/2012 17:00,Summer,0,1, Clear + Few clouds,27.88,31.82,65,7.0015,678
4/14/2012 13:00,Summer,0,0, Clear + Few clouds,25.42,31.06,33,19.9995,678
4/14/2012 12:00,Summer,0,0, Clear + Few clouds,23.78,27.275,35,16.9979,678
06-03-12,Summer,0,0, Clear + Few clouds,27.88,31.82,36,22.0028,678
12/19/2012 8:00,Winter,0,1, Clear + Few clouds,9.84,12.88,87,7.0015,678
8/16/2012 19:00,Fall,0,1, Clear + Few clouds,31.16,34.09,40,7.0015,677
4/19/2012 8:00,Summer,0,1, Mist + Cloudy ,17.22,21.21,82,7.0015,677
3/13/2012 17:00,Spring,0,1, Clear + Few clouds,28.7,31.82,37,7.0015,676
9/13/2012 19:00,Fall,0,1, Clear + Few clouds,26.24,30.305,65,8.9981,674
07-11-12,Fall,0,1, Mist + Cloudy ,27.88,31.82,79,11.0014,674
4/17/2012 8:00,Summer,0,1, Clear + Few clouds,24.6,31.06,43,15.0013,673
8/13/2012 8:00,Fall,0,1, Mist + Cloudy ,29.52,33.335,51,6.0032,673
6/19/2012 8:00,Summer,0,1, Mist + Cloudy ,24.6,28.79,78,11.0014,673
9/18/2012 8:00,Fall,0,1, Mist + Cloudy ,27.06,30.305,83,36.9974,672
5/19/2012 15:00,Summer,0,0, Clear + Few clouds,29.52,32.575,30,7.0015,672
08-03-12,Fall,0,1, Mist + Cloudy ,33.62,40.15,59,16.9979,671
09-09-12,Fall,0,0, Clear + Few clouds,28.7,31.82,37,16.9979,671
6/13/2012 19:00,Summer,0,1, Clear + Few clouds,28.7,31.82,34,26.0027,671
4/13/2012 18:00,Summer,0,1, Clear + Few clouds,22.14,25.76,26,8.9981,671
10/13/2012 13:00,Winter,0,0, Clear + Few clouds,18.86,22.725,36,12.998,670
5/18/2012 18:00,Summer,0,1, Clear + Few clouds,26.24,31.06,38,15.0013,669
8/17/2012 18:00,Fall,0,1, Mist + Cloudy ,33.62,12.12,38,16.9979,669
8/17/2012 8:00,Fall,0,1, Clear + Few clouds,27.88,12.12,65,8.9981,668
11-08-12,Winter,0,1, Clear + Few clouds,12.3,14.395,33,19.0012,668
7/16/2012 8:00,Fall,0,1, Clear + Few clouds,30.34,34.85,66,7.0015,667
05-02-12,Summer,0,1, Mist + Cloudy ,22.96,26.515,88,0,666
06-04-12,Summer,0,1, Clear + Few clouds,24.6,31.06,49,15.0013,665
11/19/2012 8:00,Winter,0,1, Mist + Cloudy ,14.76,16.665,66,19.9995,663
12/18/2012 8:00,Winter,0,1, Clear + Few clouds,15.58,19.695,94,0,662
06-03-12,Summer,0,0, Clear + Few clouds,28.7,31.82,34,19.9995,662
09-05-12,Fall,0,1, Clear + Few clouds,30.34,34.85,70,11.0014,662
3/14/2012 8:00,Spring,0,1, Clear + Few clouds,18.04,21.97,82,0,662
7/17/2012 8:00,Fall,0,1, Mist + Cloudy ,32.8,37.88,55,0,661
4/14/2012 14:00,Summer,0,0, Mist + Cloudy ,26.24,31.06,27,30.0026,660
10-06-12,Winter,0,0, Clear + Few clouds,24.6,31.06,43,35.0008,659
12-06-12,Winter,0,1, Clear + Few clouds,9.02,10.605,51,19.9995,659
05-12-12,Summer,0,0, Clear + Few clouds,26.24,31.06,36,12.998,659
4/14/2012 15:00,Summer,0,0, Mist + Cloudy ,26.24,31.06,27,23.9994,658
7/19/2012 8:00,Fall,0,1, Clear + Few clouds,31.16,35.605,58,16.9979,657
9/16/2012 12:00,Fall,0,0, Clear + Few clouds,27.06,31.06,44,11.0014,656
04-12-12,Summer,0,1, Clear + Few clouds,20.5,24.24,27,26.0027,656
04-06-12,Summer,0,1, Clear + Few clouds,21.32,25,23,27.9993,655
9/15/2012 15:00,Fall,0,0, Mist + Cloudy ,27.88,31.82,34,19.0012,654
8/18/2012 12:00,Fall,0,0, Clear + Few clouds,31.16,33.335,37,12.998,654
11-11-12,Winter,0,0, Clear + Few clouds,22.14,25.76,42,15.0013,653
6/15/2012 8:00,Summer,0,1, Clear + Few clouds,24.6,29.545,69,11.0014,653
08-01-12,Fall,0,1, Clear + Few clouds,30.34,34.85,66,16.9979,652
11-10-12,Winter,0,0, Clear + Few clouds,21.32,25,39,0,651
06-11-12,Summer,0,1, Clear + Few clouds,27.06,31.06,74,8.9981,651
3/17/2012 12:00,Spring,0,0, Clear + Few clouds,22.96,26.515,68,11.0014,651
5/16/2012 8:00,Summer,0,1, Clear + Few clouds,23.78,27.275,83,0,650
07-10-12,Fall,0,1, Clear + Few clouds,29.52,34.85,74,8.9981,649
10-06-12,Winter,0,0, Clear + Few clouds,26.24,30.305,65,16.9979,647
09-09-12,Fall,0,0, Clear + Few clouds,29.52,32.575,30,19.0012,647
07-03-12,Fall,0,1, Clear + Few clouds,30.34,34.09,62,6.0032,646
11/15/2012 8:00,Winter,0,1, Mist + Cloudy ,12.3,14.395,61,15.0013,646
04-09-12,Summer,0,1, Clear + Few clouds,22.14,25.76,34,19.9995,646
06-04-12,Summer,0,1, Clear + Few clouds,25.42,31.06,38,27.9993,645
5/19/2012 18:00,Summer,0,0, Clear + Few clouds,30.34,32.575,33,6.0032,645
06-03-12,Summer,0,0, Clear + Few clouds,28.7,31.82,34,0,644
8/18/2012 13:00,Fall,0,0, Clear + Few clouds,30.34,32.575,40,12.998,644
06-02-12,Summer,0,0, Clear + Few clouds,26.24,31.06,38,16.9979,644
7/18/2012 18:00,Fall,0,1, Mist + Cloudy ,31.16,35.605,62,8.9981,643
05-04-12,Summer,0,1, Clear + Few clouds,28.7,32.575,54,31.0009,643
04-07-12,Summer,0,0, Clear + Few clouds,20.5,24.24,22,12.998,643
5/19/2012 12:00,Summer,0,0, Clear + Few clouds,27.06,31.06,36,0,642
10-12-12,Winter,0,1, Clear + Few clouds,18.04,21.97,38,19.9995,642
5/19/2012 16:00,Summer,0,0, Clear + Few clouds,30.34,32.575,30,7.0015,642
6/18/2012 18:00,Summer,0,1, Mist + Cloudy ,25.42,30.305,69,11.0014,642
05-08-12,Summer,0,1, Mist + Cloudy ,22.14,25.76,73,19.9995,641
05-04-12,Summer,0,1, Clear + Few clouds,28.7,32.575,54,31.0009,641
08-06-12,Fall,0,1, Clear + Few clouds,31.98,37.12,59,12.998,640
08-10-12,Fall,0,1, Clear + Few clouds,31.16,35.605,62,19.9995,640
05-07-12,Summer,0,1, Mist + Cloudy ,20.5,24.24,82,12.998,639
6/15/2011 17:00,Summer,0,1, Clear + Few clouds,30.34,32.575,28,7.0015,638
11-05-12,Winter,0,1, Clear + Few clouds,13.94,15.91,46,15.0013,638
11-02-12,Winter,0,1, Clear + Few clouds,15.58,19.695,40,22.0028,638
10/13/2012 16:00,Winter,0,0, Clear + Few clouds,20.5,24.24,31,12.998,637
09-12-12,Fall,0,1, Clear + Few clouds,26.24,31.06,50,12.998,635
4/15/2012 12:00,Summer,0,0, Clear + Few clouds,26.24,31.06,44,19.0012,635
8/18/2012 17:00,Fall,0,0, Clear + Few clouds,31.16,33.335,37,15.0013,635
5/17/2012 8:00,Summer,0,1, Clear + Few clouds,21.32,25,55,30.0026,634
10-05-12,Winter,0,1, Clear + Few clouds,29.52,32.575,37,0,634
07-11-12,Fall,0,1, Clear + Few clouds,30.34,33.335,48,15.0013,633
7/14/2012 14:00,Fall,0,0, Clear + Few clouds,32.8,37.88,55,7.0015,632
04-09-12,Summer,0,1, Clear + Few clouds,22.14,25.76,32,27.9993,632
7/13/2012 18:00,Fall,0,1, Clear + Few clouds,31.98,34.85,46,12.998,631
07-09-12,Fall,0,1, Clear + Few clouds,30.34,34.09,55,11.0014,631
05-10-12,Summer,0,1, Clear + Few clouds,18.86,22.725,67,23.9994,630
07-12-12,Fall,0,1, Clear + Few clouds,30.34,33.335,48,15.0013,629
09-01-11,Fall,0,1, Clear + Few clouds,29.52,33.335,54,16.9979,628
8/14/2012 19:00,Fall,0,1, Clear + Few clouds,31.16,36.365,66,12.998,627
05-03-12,Summer,0,1," Light Snow, Light Rain",18.86,22.725,88,12.998,627
11-10-12,Winter,0,0, Clear + Few clouds,22.14,25.76,37,0,627
07-03-12,Fall,0,1, Mist + Cloudy ,35.26,37.12,30,0,627
9/15/2012 11:00,Fall,0,0, Clear + Few clouds,26.24,31.06,38,26.0027,627
09-08-12,Fall,0,0, Clear + Few clouds,33.62,38.635,52,30.0026,626
04-07-12,Summer,0,0, Clear + Few clouds,21.32,25,19,27.9993,626
04-12-12,Summer,0,1, Clear + Few clouds,13.12,15.15,66,22.0028,624
08-09-12,Fall,0,1, Clear + Few clouds,32.8,37.88,55,12.998,623
3/15/2012 8:00,Spring,0,1, Clear + Few clouds,18.04,21.97,77,7.0015,623
05-09-12,Summer,0,1, Mist + Cloudy ,24.6,28.03,83,8.9981,622
12/14/2012 17:00,Winter,0,1, Clear + Few clouds,13.94,16.665,57,11.0014,622
10-06-12,Winter,0,0, Clear + Few clouds,24.6,31.06,46,27.9993,620
10/14/2012 13:00,Winter,0,0, Clear + Few clouds,26.24,31.06,41,30.0026,619
11/19/2012 17:00,Winter,0,1, Mist + Cloudy ,17.22,21.21,58,12.998,619
05-04-12,Summer,0,1, Clear + Few clouds,22.96,26.515,88,0,618
8/14/2012 8:00,Fall,0,1, Mist + Cloudy ,27.06,29.545,89,6.0032,618
10/14/2012 14:00,Winter,0,0, Clear + Few clouds,27.06,31.06,39,27.9993,617
4/15/2012 15:00,Summer,0,0, Clear + Few clouds,28.7,31.82,39,26.0027,617
12-06-12,Winter,0,1, Clear + Few clouds,12.3,15.91,45,7.0015,617
6/16/2012 13:00,Summer,0,0, Clear + Few clouds,29.52,32.575,34,11.0014,617
4/15/2012 16:00,Summer,0,0, Clear + Few clouds,29.52,32.575,39,23.9994,616
10/13/2012 15:00,Winter,0,0, Clear + Few clouds,20.5,24.24,36,12.998,615
05-12-12,Summer,0,0, Clear + Few clouds,27.06,31.06,36,12.998,615
6/17/2012 12:00,Summer,0,0, Clear + Few clouds,25.42,31.06,57,0,615
6/17/2012 13:00,Summer,0,0, Clear + Few clouds,26.24,31.06,53,11.0014,614
9/15/2012 18:00,Fall,0,0, Mist + Cloudy ,26.24,31.06,36,19.0012,614
06-12-12,Summer,0,1, Mist + Cloudy ,25.42,28.03,88,15.0013,613
10-01-12,Winter,0,1," Light Snow, Light Rain",22.96,26.515,64,7.0015,613
03-07-12,Spring,0,1, Clear + Few clouds,22.96,26.515,43,32.9975,612
9/19/2012 19:00,Fall,0,1, Clear + Few clouds,22.96,26.515,43,15.0013,611
05-10-11,Summer,0,1, Clear + Few clouds,26.24,31.06,33,0,611
10-06-12,Winter,0,0, Clear + Few clouds,22.14,25.76,49,26.0027,610
08-07-12,Fall,0,1, Mist + Cloudy ,31.16,36.365,66,7.0015,610
11/13/2012 17:00,Winter,0,1, Clear + Few clouds,13.94,15.15,49,23.9994,608
07-05-12,Fall,0,1, Mist + Cloudy ,36.9,41.665,39,22.0028,607
08-02-12,Fall,0,1, Clear + Few clouds,32.8,39.395,63,11.0014,607
11-10-12,Winter,0,0, Clear + Few clouds,19.68,23.485,48,0,606
08-06-12,Fall,0,1, Mist + Cloudy ,28.7,33.335,79,0,605
12-05-12,Winter,0,1, Clear + Few clouds,18.04,21.97,35,19.0012,605
11-10-12,Winter,0,0, Clear + Few clouds,22.14,25.76,37,0,605
10-11-11,Winter,0,1, Mist + Cloudy ,24.6,28.79,78,16.9979,604
